State,R0,psi,alpha,xi,k,A,I0,ag ,CumCase,Ratio,PeakCase,TimePeak,DaysAfter,EndCases,Deaths,RepCase
Puerto Rico,1.91487064476865,49.2000070193337,0.005000000000022,0.003665761950456,0.935055143041256,10770.9688943214,935.850327877936,0.500000000000022,1.72166159131867,17.6974740786628,0.318267293667132,33,52,0.038546804913722,0.00477442963227,0.09728289945029
Rhode Island,2.27744828898519,60.7596688069156,0.046323156246139,0.026048602272016,0.791093247092666,1100.89733333333,14.9778778264143,2.62733301784978,3.29795514324713,2.24257778046567,0.469782277450944,48,40,0.288225315730674,0.086186749668828,1.47060903393162
South Carolina,2.155313129459,142.216320090692,0.048358643128889,0.00796733729449,0.339653746547196,2297.26100001248,341.973168699388,4.11394827389445,1.54501853612471,6.79968502692354,0.193639426931382,37,45,0.128232290156784,0.012382554697758,0.227219132946184
South Dakota,1.94701025735386,48.6164215806587,0.047635178984593,0.002550584412049,0.302067425603161,351.03875502703,125.284431635482,18.8562787704415,3.52614586294686,6.09206054459308,0.470432001460384,46,49,0.329558409310109,0.009044052310441,0.578810049101767
Tennessee,5.99999999999983,362.648024682743,0.131859773649693,0.002781811470419,0.333701655085471,7498.30694240335,107.997399717788,25,2.56543446473007,7.93551352131677,0.226711442999828,18,44,0.22036050566422,0.007177065263187,0.323285249006088
Texas,1.99865578441552,87.5356400688247,0.034631234544578,0.004938187700618,0.316377120368694,33087.6275,72.7293355914944,0.686118354475557,1.75396232826461,8.54278612927158,0.244611956428005,68,22,0.135374520873954,0.007491331342592,0.205315022724813
Utah,2.06846003250302,356.681051475276,0.142857137361812,0.0032718630154,0.344826725740013,1707.98836710435,61.5271660099576,2.89850141146899,1.45169380415095,5.06865224692876,0.151847240869095,78,35,0.15119710107399,0.004777679167924,0.286406273981526
Vermont,2.222028806678,77.505786637352,0.005000000000023,0.007329160533778,0.404398154454646,808.692568843698,372.181144052837,2.69900933335822,1.2456377228219,8.27577763767702,0.309054095319611,19,46,0.006678728804326,0.009099315029786,0.150516093756664
Virgin Islands,1.67068268524764,98.7623162166309,0.005000000000022,0.006939452458757,0.142585166281849,20.037537858889,74.0463248349467,25,0.829507297885595,11.7241722685979,0.166613456236522,20,53,0.011435639140135,0.005758486792787,0.070751885837378
Virginia,1.78689399455961,13.7565775231636,0.005000177178708,0.004248875348439,0.256620989694163,7770.18772528326,1599.33491091022,0.865759729710839,5.17721211271994,11.1046629401606,0.849141529097931,53,46,0.289811480756354,0.019088366982039,0.466219653907394
Washington,2.12421329150558,62.0520063641186,0.012764238646696,0.011891386383512,0.438677207939757,12044.1713628738,2.89598637613518,0.500000000000027,1.78686291609519,6.63006951095787,0.312545510712399,74,0,0.046921970114532,0.016580293382805,0.269508926436133
West Virginia,3.68721219573704,177.08417685783,0.023992844505264,0.005031122499779,0.412834438246416,2668.54027563616,24.3469368679773,4.43352671618723,1.01353408081301,9.48246545611256,0.236569258587046,22,56,0.066230547910652,0.005142189759157,0.106885080204502
Wisconsin,2.75351147425496,334.642543115275,0.104948435518511,0.007653186087146,0.494087753220274,10376.0703208931,1.00000000000002,25,1.68713700918786,6.08920217902557,0.155964398042936,56,15,0.145929451422475,0.012985859259045,0.277070289273569
Wyoming,4.39588218987796,617.800545185069,0.10491626022759,0.003412620339202,0.381010633671931,289.674573691059,1.00000000000004,25,0.983469161746077,5.66875276205823,0.107848002554683,24,50,0.097152688399808,0.003378201182921,0.173489514012425
United States,2.32869182016688,49.667318799424,0.024862809243998,0.011877160282028,0.587,349370.928907332,20.2683787657608,4.03937368257124,3.0720877064082,5.84696544248259,0.500466622304915,76,0,0.163161711896205,0.036673347900009,0.52541574542021
mean,2.49687724394901,130.984959836022,0.039365950953349,0.009446007337282,0.447425870918165,7347.08500840182,627.108012946619,7.45932170677632,2.82112614190615,7.30109646488126,0.496335401093912,42.4545454545455,41.7454545454545,0.161326306024204,0.029010012443707,0.46693300362126
median,2.14928484821984,77.3622342938703,0.022399002373335,0.008074631957149,0.404398154454646,2725.93699898235,268.844709837288,3.4030502692827,2.11066327769288,6.81005700032237,0.302795339131626,41,45,0.145929451422475,0.014599328524884,0.303549637862506
std  dev,1.5867213673513,312.413420431441,0.00883908037875,0.003305986963861,0.044132146717601,1246.23198000378,1086.78939187125,14.8727640997648,0.79704660309956,0.544501457876515,0.081273018255464,4.94974746830583,1.4142135623731,0.074604617109108,0.009752857891892,0.109116908842282
