State,Reproduction,Psi,Alpha,Xi,Capture,HalfSaturation ,I0,ag,bg,Mortality,TrueCases,Residual
Alaska,3.57526025676678,4669.45572613831,0.002500000000031,0.00988044623946,0.29632963665914,0.009434826292276,4.7057276641611,0.500000000000024,41.999999999998,0.007661054488022,0.159840864748368,47.1416406157632
Montana,5.99999999998595,3951.27294121247,0.002500000000024,0.008218213559515,0.199866405371542,0.001706621955144,3.49874816922743,2.11878042127136,9.91136211623056,0.008324038325031,0.19443557023624,104.462901541225
Hawaii,4.15197248268992,3596.73765523398,0.002500000000038,0.005806413073051,0.188529411764728,0.004206594946414,1.00000000000002,5.06792615376598,4.14370678712334,0.00598342720161,0.209239263398574,89.9244073757979
Northern Mariana Islands,5.99999999999983,7000,0.002500000000022,0.016867697095426,0.055000000000022,0.013185190394127,15.2584126049728,0.500000000000022,41.9999999999981,0.012163958634439,0.349729514960216,24.3497305649419
Puerto Rico,2.00000000000017,1891.26395916402,0.008920781181906,0.017332308620872,0.230492738054491,0.003173049795521,29.4948024821764,0.500000000000022,41.9999999999981,0.013685482785855,0.367472690137274,20819.985730728
Oregon,2.00000000000023,2249.40477302661,0.01841460998626,0.014392768760956,0.227691325043979,0.002586896295287,14.8706151555286,0.500000000000022,41.9999999999981,0.011760265217227,0.381817069110344,6051.09949600512
North Dakota,2.00000000000018,2638.58402697969,0.099499999999977,0.01561287193203,0.458639977295161,0.000837858721592,4.71713237114992,0.877385821758368,23.9347382636226,0.018065183281152,0.442487792962136,199.541778702954
Idaho,5.99999999999973,1831.66633503864,0.008470493886117,0.009727507332015,0.240044534483957,0.009161254968832,1.86815906144849,1.7775288691355,11.8141541128462,0.009929139953693,0.465912957801492,883.702673573671
Wyoming,4.58208426632088,3148.08365304279,0.045459677103718,0.003770461717095,0.214667873910693,0.003206443067794,1.00110679161137,11.9999999920625,1.75000000115755,0.004096854481023,0.510513329631069,147.397229318937
Virgin Islands,2.00000000000017,1577.4727051364,0.008422103210436,0.010611412238002,0.095820076408855,0.000408966413365,8.34574298710264,11.999999999999,1.75000000000015,0.010680488972494,0.535708210251095,20.2520327646258
West Virginia,2.82026524810318,1986.11480323788,0.024825617216536,0.007851234701194,0.120976835559307,0.057613237790027,43.7557062080825,7.9711014710287,2.63451670717345,0.008168152529568,0.544376311906285,212.046470254207
