Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
07/01/2020,866905,200604,1868566,534447,10659646,1387050,827593,210817,237839,4435324,2187599,388011,395854,2948939,1373785,659652,645016,951288,907807,300359,1375717,1779988,2190594,1236702,498126,1357015,253441,404605,804478,276620,2299626,477143,5827040,2100810,158359,2521157,824716,1114028,2969083,244518,967585,173947,1324174,5738390,746041,138193,1863343,1914250,401965,1191140,128766
07/02/2020,941189,212532,1931792,599913,10912294,1455205,873711,228293,243516,4943730,2355235,396634,410744,3163360,1489951,715144,704414,1023611,1001264,316657,1438251,1861958,2323556,1341319,555820,1461766,279578,442832,825542,294020,2364459,499057,6020231,2261871,178088,2702901,917819,1133889,3152878,257002,1054600,189876,1436550,6244822,765413,144484,1963976,1948389,432016,1294655,140391
07/03/2020,1023119,211132,2028436,631124,11552714,1528206,900980,231601,246807,5194107,2431135,416958,435180,3380499,1615526,748220,746140,1091506,1049994,327325,1482485,1923324,2474408,1429733,581087,1542630,287465,460810,860975,315241,2405818,529971,6173440,2384643,187862,2952292,979856,1192464,3264644,263188,1110869,201277,1525757,6570334,821995,148364,2042786,2010073,453029,1383304,146722
07/04/2020,1119222,228239,2162441,680235,12337599,1650992,956837,246609,254273,5602666,2616114,440206,462560,3628725,1714561,812428,804187,1155731,1143926,347462,1557389,2025169,2644812,1533846,635699,1670068,307273,505809,910440,338451,2572038,569755,6429319,2539830,201410,3136164,1053298,1268547,3479050,281530,1184568,212483,1633669,7009685,866125,156796,2164134,2141920,475113,1471300,155239
07/05/2020,1005276,217083,2120073,620846,11740513,1520721,898686,231856,251662,5107514,2414896,416763,438387,3321373,1568777,756283,744079,1060879,1053113,325207,1489043,1895351,2421260,1403328,572843,1532698,283260,465792,882586,308179,2427560,542491,6157622,2345077,180444,2854502,949884,1208268,3265471,264788,1086979,193869,1506505,6561902,860316,143617,2041257,2039939,438868,1359309,143833
07/06/2020,958514,216785,1952062,582872,10743038,1465170,895967,228414,245870,4764352,2374187,400982,406795,3222430,1496501,732800,709265,1020308,989493,321060,1476302,1903863,2369308,1391050,546261,1466317,272165,467195,824453,300392,2405449,499233,6137925,2291699,180943,2751046,895603,1157098,3244383,260704,1056891,195824,1454834,6211104,777816,145858,2017630,1971730,431228,1341175,137363
07/07/2020,900199,211719,1899476,556510,10570510,1422758,873519,223293,246544,4636499,2318368,387344,401219,3181128,1467900,709917,693746,987650,950445,311085,1465775,1860474,2369119,1368794,512530,1411894,263365,449844,809444,293684,2353887,492129,6022222,2226528,176243,2694806,862105,1128387,3153484,250938,1039213,199112,1399943,6030860,762164,141996,1973630,1943291,425691,1314657,136221
07/08/2020,883510,215181,1911777,557147,10631373,1420338,867282,224363,238519,4571907,2262908,388296,400774,3136834,1441974,712247,696759,977551,935253,308454,1427166,1824852,2304543,1331676,513203,1405182,269862,447853,814336,286876,2331370,493382,5968589,2204891,179673,2691397,858146,1126458,3107608,251024,1018473,192557,1380182,5950928,755584,139761,1937787,1933013,419464,1319361,137245
07/09/2020,870632,210231,1892221,548959,10523158,1429993,857252,223584,243791,4581318,2262328,382343,406661,3120700,1439078,686895,681716,972585,925375,310538,1444500,1820615,2326378,1326379,506302,1387687,270050,439624,799893,290084,2342126,492219,5976628,2198459,172287,2697404,856334,1117566,3132605,247500,1009481,191198,1373062,5974600,759215,141915,1952211,1931383,417001,1283641,133527
07/10/2020,870609,208438,1873713,543487,10293940,1417689,850615,229583,239827,4515357,2228555,384253,394757,3023946,1400857,684419,664330,946699,927565,300868,1430544,1786850,2266606,1298723,503316,1366405,264557,418078,791978,283793,2433904,482137,6054952,2160664,168219,2589373,842796,1102121,3136490,248710,994494,182211,1349897,5882091,742755,139319,1908548,1894857,405757,1287314,132616
07/11/2020,950184,222243,2033747,593801,11003759,1520848,896162,236117,246552,4911284,2374244,402211,428846,3237943,1511585,722843,715630,1037087,1008110,328667,1501673,1908169,2455261,1392544,554547,1488448,283190,458289,843550,313779,2455677,526142,6312242,2316474,185473,2850672,913212,1179282,3287391,262792,1062402,197780,1455559,6330262,798830,151678,2030707,2023389,441986,1381667,143850
07/12/2020,1024738,224025,2115930,630161,11531671,1560637,920810,241275,257509,5228207,2489493,408763,451029,3420640,1620536,779973,762761,1088382,1063043,328253,1553067,1936209,2514283,1454394,587856,1561821,288857,467872,875990,315075,2499054,552740,6368477,2428428,186511,2952366,988886,1206290,3367296,263562,1125683,200689,1536627,6651139,868213,156383,2086999,2070581,454235,1424330,147394
07/13/2020,908876,209748,1898094,569652,10509887,1438636,865785,225932,249155,4632859,2300504,389677,406080,3131778,1455462,731929,703076,992453,968065,310034,1456177,1854215,2303719,1384546,525443,1424713,270346,443638,819114,294494,2361787,499711,6032252,2176370,171921,2663032,898926,1118956,3167828,251259,1022254,189135,1399203,5962300,758672,143855,1959079,1916926,420685,1331705,135934
07/14/2020,887138,212495,1953329,565596,10961277,1474860,867243,226312,250744,4693609,2317128,390037,418307,3185011,1503397,718283,707863,1005715,959604,316771,1454390,1860313,2368848,1395444,520481,1455958,273834,449590,849995,299449,2370685,511539,6042590,2239270,175373,2726431,890225,1160112,3206145,249297,1021943,191571,1407632,6076844,784017,148333,1986331,1961821,430290,1328279,138841
07/15/2020,884368,210612,1948099,561933,10827392,1471586,851834,225727,241725,4599440,2236966,383639,418369,3125308,1494627,733433,712685,1002530,943831,310561,1429756,1805754,2306450,1361174,513258,1434010,273636,443947,842722,289907,2306213,506944,5893595,2180224,174933,2703906,879363,1140613,3157921,245342,1014381,189471,1389838,6054888,783324,144907,1967074,1944251,429962,1329807,138002
07/16/2020,892643,214755,1958594,569062,10826034,1476900,858502,228508,244344,4646238,2265185,388185,421776,3152040,1508984,735346,706299,1003526,957285,313395,1442915,1827392,2336467,1366794,517383,1441509,275669,447002,849447,291584,2340503,512833,5979650,2219085,176533,2711529,893326,1144745,3176871,244029,1021128,187183,1395780,6114542,796330,146496,1979401,1954000,433855,1331679,140558
07/17/2020,939900,219635,1963084,588952,10690667,1487487,858031,227965,239702,4625731,2286597,399645,428381,3096940,1466186,748449,720626,1004410,978637,313307,1426250,1828558,2275934,1341855,540058,1460287,282273,456955,856078,299101,2359307,505342,5980299,2209392,164878,2640523,917392,1152955,3182886,247672,1032660,190099,1419849,6140030,804630,150325,1959216,1968926,434830,1333484,141065
07/18/2020,1015287,224788,2113087,637000,11581715,1590245,908971,243443,248787,5112962,2467809,406473,457236,3374949,1624104,798592,771515,1095556,1056863,336961,1536625,1914082,2508309,1452558,576319,1594724,297887,483415,912132,322195,2496929,550297,6319198,2394293,190269,2947396,986190,1231117,3383255,261278,1103577,204752,1539659,6565307,851981,155623,2108810,2087988,470016,1434147,149087
07/19/2020,1127985,236464,2299000,685161,12626810,1671673,980370,261451,266537,5554234,2671829,442223,490608,3676261,1732115,834350,811375,1190029,1157348,347589,1632125,2046387,2724846,1519223,639329,1690469,308388,507203,968292,336243,2658546,592446,6640505,2588319,194164,3188090,1052568,1312273,3608798,277947,1221734,206062,1671109,7163909,947688,157970,2254493,2229738,499245,1512530,153151
07/20/2020,1051105,228415,2119108,637242,11848324,1591771,949167,255517,264055,5111085,2570391,419421,459855,3348266,1601766,791991,761033,1125846,1071746,343435,1587953,2007212,2500719,1420996,593150,1600578,295481,483098,921860,323540,2589925,544582,6490789,2465543,185598,2924105,969350,1254395,3481942,272801,1157719,197490,1561536,6653157,880047,157436,2175417,2129204,478424,1410319,145597
07/21/2020,950464,228506,2005497,590498,11591755,1511819,919467,242972,258092,4969286,2413729,406407,438833,3277967,1539162,738741,731897,1065113,1014420,322873,1537551,1940636,2426215,1377370,546453,1505745,285642,455215,883624,307895,2485804,525166,6290858,2341186,177680,2820453,903653,1193700,3361700,264312,1085336,187484,1463502,6360944,828169,151175,2077273,2029141,449843,1362725,141433
07/22/2020,914621,222642,1987850,575505,11497113,1505327,901761,238047,258681,4876787,2324462,400745,430203,3210100,1498264,720639,703683,1031260,991690,322356,1520119,1921600,2365923,1347716,528236,1467247,281301,442733,869881,302207,2428052,522220,6177496,2279025,171980,2795814,884865,1178885,3304188,259699,1050205,183974,1419162,6224152,824672,147346,2039110,2010902,435106,1341578,140679
07/23/2020,938664,223606,1998264,587876,11516767,1514538,907029,242450,257767,4964277,2379870,408163,432598,3233200,1528330,731317,716869,1058897,1008432,326034,1521773,1942103,2400595,1357401,538631,1491315,281837,448542,875939,310504,2474831,526260,6271044,2331849,175621,2829453,896355,1186967,3339588,263928,1079763,187065,1441111,6270085,825800,151018,2062939,2025742,443574,1348528,142059
07/24/2020,891389,219561,1930438,559493,11211713,1462573,867800,228178,251638,4697876,2267817,393490,416781,3062431,1420389,696128,686850,995581,983703,311179,1459399,1860105,2266616,1312521,521682,1417669,273114,433668,847291,288494,2376050,506809,6067422,2200177,166142,2633903,856697,1154695,3178413,253876,1019518,181185,1371185,5990518,815553,144787,1962919,1955090,422156,1288233,136918
07/25/2020,1007601,234936,2106804,623797,11948772,1588296,919762,243739,255578,5129346,2460463,427474,453808,3353844,1596242,772863,751390,1101145,1098511,333245,1549003,1958755,2491416,1465538,588415,1566574,295224,471357,911831,320246,2490125,556208,6332637,2388638,186939,2925440,952090,1242233,3413171,269211,1104395,200875,1517082,6662444,873656,151310,2100988,2105547,459056,1431290,147315
07/26/2020,1027954,226007,2106993,633581,12085888,1602134,946121,248445,252290,5367262,2477181,447896,455236,3463854,1634220,774681,760622,1115789,1119054,336342,1569327,1992833,2536263,1451836,583146,1590852,287549,470700,897377,322996,2519006,549769,6294660,2426931,184415,2996754,985602,1217671,3429935,275787,1136724,191590,1540962,6803529,890844,154222,2121200,2066862,453222,1456206,147581
07/27/2020,981350,220128,2020176,606813,11753212,1567956,939271,240831,253818,5122208,2417783,419625,438396,3379213,1570153,749291,739439,1079920,1055550,330193,1540465,1988190,2473300,1405152,556554,1551143,284026,460409,879938,318576,2498775,524922,6254135,2354809,179463,2907557,926605,1195736,3365495,274472,1103599,188348,1479875,6449931,845585,152976,2086249,2018825,442440,1405522,143420
07/28/2020,916367,216123,1932084,573257,11400021,1502253,899823,229920,246433,4914710,2293754,390639,416307,3208438,1484726,713663,701972,1028068,993070,317675,1476393,1921330,2344806,1342567,526577,1461269,270192,435949,845996,305266,2396749,505956,6061431,2244658,172293,2756582,903779,1151412,3220241,264431,1046443,180257,1409696,6209123,805685,146479,1991495,1956266,423785,1332922,136728
07/29/2020,960338,217726,1959326,596746,11496793,1524212,918062,237484,248915,5023065,2380763,399430,423256,3241125,1506700,733666,715135,1054430,1024553,327796,1519484,1951354,2384804,1372326,545649,1499122,279494,445949,862761,310790,2456091,513869,6197753,2300231,177260,2781426,931432,1177866,3306166,269012,1084122,185524,1454914,6336350,825030,150744,2045565,2002572,438980,1370197,138734
07/30/2020,896036,213862,1907165,556456,11185530,1463932,870830,226358,240346,4769066,2223796,386743,416176,3134372,1463012,700219,678996,1009756,967600,307281,1448863,1848062,2295877,1321292,515129,1432839,270431,426145,834324,292185,2342560,498307,5934637,2187635,168251,2704703,854527,1142779,3154716,253843,1016447,178221,1369065,6026315,797641,141571,1940692,1938810,416668,1325766,134990
07/31/2020,956744,220592,1942256,589120,11157094,1493683,891637,232243,239424,4874143,2340358,402453,429358,3151260,1483153,724526,709297,1036545,1011483,318006,1469126,1881066,2335655,1329430,541000,1485240,276937,441550,852694,303522,2446305,495619,6048329,2245755,172533,2736966,911241,1169055,3216185,259040,1071966,183820,1426058,6135302,822404,145531,1982352,1984970,433361,1339380,139084
08/01/2020,1061433,232368,2100666,645483,11930461,1593873,939321,244711,243541,5362791,2523963,422360,459808,3429656,1658226,786551,764063,1137297,1101105,339274,1546833,1976387,2543423,1441361,593600,1614887,294998,473698,909982,329393,2541641,541586,6299246,2432932,189815,3028535,994905,1249089,3420519,273889,1149733,199144,1563398,6655187,875868,156196,2110376,2121742,464951,1459829,150935
08/02/2020,1071839,237643,2173041,652797,12133474,1609556,979016,261963,263913,5886209,2648800,435805,469972,3509701,1719169,794820,775605,1163833,1117544,346522,1646420,2041112,2711586,1451961,608858,1625904,295494,477207,934462,336996,2702389,563966,6652678,2589865,189932,3220741,1010936,1252206,3600890,287911,1216062,199708,1599684,6811065,909558,162563,2248043,2141863,483242,1458017,151077
08/03/2020,945198,223388,1984699,589413,11345292,1505768,898621,234541,249127,5107701,2360674,402441,427623,3254030,1527762,734489,715484,1047556,1012486,321299,1489748,1910597,2411181,1372967,546233,1496148,277849,448220,870556,308536,2431017,512155,6135810,2312699,177476,2857235,913511,1164761,3268654,262372,1083764,188852,1439208,6214882,816071,150617,2054561,1986791,443820,1369868,140600
08/04/2020,867981,215799,1916380,545265,11068800,1453929,886737,249312,262188,4644468,2222188,387011,415622,3075064,1423065,697078,668006,989245,934030,309269,1549538,1850291,2226188,1299364,502116,1392092,266574,418547,853605,291352,2509758,499291,6283285,2308166,167094,2659536,838136,1142847,3264457,251265,1030243,177572,1357576,5831377,778271,147829,2103248,1929513,422455,1289186,133494
08/05/2020,892589,220750,1949745,561263,11072460,1462749,845880,233842,255216,4693401,2269966,396255,418480,3057518,1431807,706047,685463,1001010,944902,318799,1491198,1887696,2293846,1309685,516139,1436380,270403,431543,863037,301286,2351400,500009,6103475,2245548,169449,2664177,864458,1158006,3215631,260081,1035700,180104,1383854,5900754,780488,150901,2029548,1952079,436679,1306151,133012
08/06/2020,865086,218073,1931867,544699,10937298,1432700,815473,227871,252218,4614194,2202347,391058,411291,3041488,1429131,682413,668547,988496,926942,308335,1455812,1809822,2269630,1287431,501089,1411058,267424,416623,853540,289081,2275167,497252,5931899,2185271,167842,2651596,830900,1148914,3120960,249596,999475,176280,1340628,5815555,773097,143587,1979305,1949238,424923,1276339,132078
08/07/2020,880428,220087,1934282,547203,10770870,1430166,820386,226610,250701,4569422,2203081,398660,412844,2977214,1395426,689069,664562,973887,933882,310332,1442708,1815285,2231177,1242508,501681,1396064,268370,417160,851826,287113,2318421,488342,5979537,2168943,163635,2570388,838361,1147901,3117321,251648,1011825,175877,1352976,5773663,772423,142511,1981226,1953248,428169,1271973,131030
08/08/2020,942816,224624,2041344,590018,11445866,1509940,869662,241349,257714,4916755,2333091,411959,440177,3187678,1525562,728531,707521,1049050,1007808,327802,1519652,1901450,2404467,1352711,543192,1495960,285709,439709,890378,309890,2436029,532082,6248790,2325091,176344,2814298,907656,1214586,3324571,264923,1067565,186779,1450716,6111448,809759,153150,2076452,2077786,457337,1355341,139893
08/09/2020,1065006,216574,2085528,647536,11299789,1575795,909450,244211,259657,5247479,2514113,406813,449540,3408311,1651599,780205,767447,1117481,1092832,336544,1564733,1937773,2530180,1441344,604735,1616265,284395,477113,883346,319236,2478264,542122,6319266,2440029,187802,2985468,988966,1189680,3415421,272137,1145289,193242,1565603,6588416,883425,153944,2151732,2026311,475697,1427126,144529
08/10/2020,968242,209517,1944379,598471,10688743,1483396,872107,231741,259158,4787072,2350764,388492,413940,3169158,1445624,710894,701014,1034917,1001592,321487,1497839,1890313,2306349,1364516,555035,1489569,268513,442812,849621,301794,2396690,497719,6123292,2272771,176931,2712634,899392,1130960,3238061,261649,1060200,185077,1444871,6092935,796704,147820,2047752,1939296,446078,1320397,134927
08/11/2020,939200,209953,1924650,586631,10733636,1466887,867282,230700,262001,4750699,2295831,377634,414725,3130763,1497012,701771,709334,1035534,992302,322083,1493972,1868882,2361497,1348041,543462,1485297,271643,442285,847746,299642,2359551,505487,6093184,2277568,174860,2740491,882772,1123036,3217673,256322,1047590,182031,1431955,6032533,792310,149752,2042410,1925967,443494,1332992,136832
08/12/2020,911349,203921,1843426,569049,10442892,1419550,858669,226068,246800,4700481,2252005,368262,399823,3030994,1447762,678964,682292,1008621,954214,312411,1445589,1853882,2293252,1302582,521927,1431116,262072,426626,810206,295457,2322085,486152,5939437,2221179,168136,2683609,860965,1094225,3130537,253722,1024574,178641,1384750,5874463,758890,144574,1961155,1861857,426951,1296060,132163
08/13/2020,842468,192167,1739667,530226,10017607,1339005,830784,217203,242272,4533360,2141803,358000,375911,2899581,1362817,648303,647184,954312,909212,304769,1419693,1778937,2203086,1248573,488505,1357599,249806,403653,773441,284536,2248037,466874,5772739,2131746,161460,2552138,809600,1026728,3028006,244167,981125,171222,1304617,5579966,708937,137543,1888392,1737713,408364,1237437,125347
08/14/2020,806204,191799,1664434,517660,9745602,1282513,789644,208772,233299,4295228,2038452,353998,359944,2761949,1302841,624875,623587,904602,876282,291385,1348237,1712679,2066689,1204665,468383,1298038,243860,381046,757023,269093,2139967,448002,5552553,2024809,155143,2405475,778573,1001031,2893983,235125,937104,163521,1250327,5304209,686957,135963,1797959,1706893,392095,1197033,120904
08/15/2020,901733,198468,1802116,560038,10449458,1385289,848168,224101,244393,4712038,2232979,374388,395342,3003185,1448453,679809,677509,991902,961230,313978,1436878,1833319,2284756,1294411,517715,1421194,262689,417199,807977,297994,2260242,487450,5843928,2239040,168267,2688118,860518,1088372,3116848,254604,1022464,173953,1378420,5751698,739203,144350,1980741,1830094,431995,1302039,131772
08/16/2020,1020263,214069,2022595,629414,11560123,1570653,960900,249167,249971,5286479,2462975,399218,447573,3382032,1616128,747553,751809,1100210,1078120,339237,1585459,2010282,2521661,1402048,577849,1574149,285902,458611,865888,327415,2588969,539998,6406994,2428791,182727,2997358,968304,1185633,3430428,283466,1125966,190743,1532265,6563922,863235,154362,2127271,2005627,461228,1427445,147012
08/17/2020,956328,214765,1969956,602156,11308548,1551581,936064,243156,249748,5129387,2410692,392291,428024,3314597,1555879,733980,738378,1076984,1027431,340450,1543827,1997786,2472058,1397257,543292,1534578,288546,447198,857450,321639,2493753,523232,6256521,2386553,180441,2905595,914223,1180611,3392094,275192,1093784,189577,1471177,6301616,823075,154449,2079432,1994032,450899,1408551,142447
08/18/2020,974216,205355,1896968,600279,10649886,1500895,880430,230000,229825,4828239,2345084,376301,413972,3165066,1492796,727711,716188,1036186,1014614,324440,1451715,1875417,2347223,1328717,551091,1494653,275686,440660,820029,304042,2375115,495715,5915017,2292650,174265,2752714,907361,1136353,3200887,257068,1068803,185984,1436162,6115078,796658,147844,1966486,1918008,432531,1349000,138519
08/19/2020,900339,202139,1858016,562370,10544627,1460753,867653,221927,231279,4730406,2244711,366719,401245,3055646,1434923,693185,688307,997034,960969,313297,1435273,1834773,2268723,1295316,511477,1427726,267476,422414,808371,297469,2327392,489644,5836667,2207657,168513,2660977,863039,1110963,3136639,253304,1021629,180048,1373685,5878222,771300,143088,1934133,1885233,420614,1304186,132891
08/20/2020,854031,195586,1771192,537165,10101296,1396220,827755,212229,220449,4517741,2143203,353418,386189,2926014,1382931,663888,660636,953836,914817,303318,1368825,1754806,2183498,1230675,484819,1362430,254606,402239,770806,284109,2217396,470279,5561036,2114882,158159,2564146,825187,1064858,3010718,244051,976839,170811,1310209,5592582,740321,138630,1854035,1808883,404835,1244036,126017
08/21/2020,813895,186621,1689881,510919,9751510,1337441,798498,205712,212247,4277670,2058424,346964,372409,2797319,1317115,627181,627015,916889,867941,291000,1318940,1689343,2088215,1176292,457553,1302105,245038,385710,749719,270758,2134948,446560,5366195,2018710,151045,2433182,781588,1030038,2896757,234359,939203,159844,1254660,5325527,721376,131834,1778845,1753565,391057,1186476,124316
08/22/2020,922899,199438,1832710,573520,10406950,1457980,851701,222630,225311,4720059,2234453,365762,405359,3023637,1458134,689203,689012,1005504,957276,310951,1410168,1792512,2281769,1291616,515826,1437910,264185,421398,800635,298605,2280357,486652,5695088,2194561,170364,2670690,877967,1108448,3112714,248986,1024597,177199,1383547,5807974,774846,143107,1916648,1867519,423967,1306074,134404
08/23/2020,1064141,231841,2106265,649473,11849661,1665510,966112,253624,251191,5458682,2538899,419594,465779,3512303,1687810,797921,790126,1131399,1101267,348344,1595889,2023448,2597759,1489749,593653,1636727,294616,486909,900355,332663,2573458,561531,6438706,2499638,191433,3076467,1007142,1241764,3550062,282148,1172297,208067,1586153,6748702,913096,162363,2159560,2087620,473744,1499361,150868
08/24/2020,1020782,224470,2048832,632305,11469718,1622737,945498,244492,249576,5099861,2445626,401801,441572,3386004,1583176,788688,778033,1094639,1124896,341212,1555893,2003819,2490780,1454759,582845,1604304,296329,480663,884710,323057,2538690,540067,6349149,2402652,191369,2895401,965577,1221440,3454504,276012,1115491,205397,1531820,6501372,862469,159464,2126775,2056511,465269,1469522,149217
08/25/2020,948578,219975,1962083,589793,11231646,1557852,914285,238363,247171,4936349,2366540,394117,423708,3210171,1493523,738477,730123,1048120,1047156,331660,1509895,1943105,2392552,1402435,542414,1512072,286197,452787,859076,310035,2435334,522522,6167001,2312709,181562,2759230,904276,1179665,3329652,266859,1067824,195731,1446441,6125367,826259,153707,2056575,1979842,443818,1397017,144119
08/26/2020,964891,221931,1966851,592057,11426686,1575047,924258,238260,249417,4980693,2375032,396298,429059,3311366,1539487,756470,735846,1059275,1053609,334843,1533025,1967797,2452065,1412377,546120,1533608,286565,455189,866840,314390,2452754,525248,6254854,2345695,180753,2841416,910531,1188434,3365288,270060,1081171,198066,1478286,6275306,838861,155369,2076579,2009806,444684,1419809,145164
08/27/2020,938142,221522,1966468,595797,11534862,1563993,936584,238663,252798,4971455,2357353,414469,426702,3311076,1528982,752677,734080,1057809,1158089,338140,1532501,1995389,2441355,1413516,543766,1516714,281605,452618,871008,314767,2482608,528454,6333421,2336109,179449,2831231,901311,1188551,3358384,277834,1077946,195293,1457162,6393838,827505,157917,2072174,2009037,440638,1403297,141854
08/28/2020,924613,217617,1919832,587909,11350172,1544688,918618,233152,253990,4864499,2311372,407114,419946,3228608,1478470,717637,718307,1044748,1014218,333239,1507516,1953314,2406315,1366278,531281,1487228,277361,439910,854560,310795,2449627,516478,6267555,2289777,176395,2774356,887530,1181839,3304737,271492,1054134,189565,1429427,6119367,822351,153701,2033804,1980611,436121,1359236,142171
08/29/2020,1001020,223058,2010576,626778,11723685,1601751,966205,246042,257578,5173597,2433481,419175,439656,3352187,1588378,762632,753080,1097326,1055912,358187,1598320,2058881,2545664,1448135,573982,1577642,289498,464558,884672,339482,2587903,535372,6570885,2407184,188362,2945632,953887,1231621,3470945,284322,1110933,199389,1522515,6360284,850142,162120,2151235,2076714,466122,1459814,148142
08/30/2020,1116632,234878,2155456,700135,12298817,1704508,1008661,260961,265513,5653845,2664959,446430,477908,3641716,1752768,842745,829335,1191270,1100631,371451,1669192,2123783,2734095,1520967,624210,1713428,310884,510799,926034,350854,2697340,572814,6760549,2628923,200875,3200518,1071558,1287052,3693995,300222,1223410,211615,1661404,7029021,943855,169478,2279099,2182184,495725,1535993,160342
08/31/2020,989560,218591,1986355,612525,11642553,1607447,960284,241570,261708,5153671,2454274,410432,443588,3420794,1600901,762845,755772,1102980,1010676,347346,1597573,2034657,2558745,1428339,553894,1558096,291350,472267,871624,325980,2572955,538537,6477438,2426650,186447,2968055,942307,1213095,3465923,284250,1118953,199781,1503282,6454755,865879,158682,2153104,2050397,460466,1420180,148854
09/01/2020,953137,212688,1928102,602072,11309293,1548765,938285,244699,260702,5075350,2385071,394949,426770,3369716,1567434,748791,734080,1074245,978507,340366,1567451,1999587,2521934,1413641,537465,1529931,284712,457562,841504,320710,2511007,518573,6394319,2393912,182005,2905879,932467,1165745,3428325,278341,1089283,194138,1468977,6282682,827375,157981,2120908,1964091,444727,1414054,143721
09/02/2020,968864,215921,1937228,603531,11362921,1556949,960520,245627,259009,5020132,2396318,405264,428421,3315488,1562204,751831,735959,1079437,980774,343414,1564124,2049005,2494117,1396601,540983,1526195,285125,456904,856988,322680,2550393,515807,6459471,2387951,181643,2899634,919341,1176768,3441072,284532,1093691,194240,1463789,6259008,837302,159394,2125544,1997119,449047,1398459,143967
09/03/2020,883445,207361,1813276,559894,10769798,1445005,886265,225676,247628,4704549,2225100,389533,397143,3077994,1428777,695803,686530,995210,917748,320621,1476549,1900230,2290701,1314277,498550,1419730,263974,429506,806769,297257,2395127,481496,6114221,2206271,171422,2648751,849020,1103595,3201497,264445,1009931,180799,1353795,5829437,778430,149249,1979367,1875127,419100,1300460,133427
09/04/2020,995100,219921,1932583,615607,11080491,1535595,932980,235777,247785,4902731,2401963,411695,432333,3212559,1505895,756521,735854,1069595,1008776,337926,1519960,1982769,2428834,1376232,560389,1527297,280834,460816,849479,315675,2524305,502896,6338046,2334787,179575,2784194,936782,1181480,3363724,274759,1097031,193978,1475235,6201208,837567,157750,2066628,1999855,451484,1380289,140845
09/05/2020,976989,218817,1973199,616427,11402137,1566352,945867,244957,253392,5107792,2400753,412472,435088,3288720,1589563,763303,743276,1091816,1003133,347169,1542345,2016063,2561091,1434802,551345,1547531,288752,461434,857377,329942,2520717,521326,6404488,2382392,185669,2921783,940010,1199155,3453886,281723,1101697,197463,1474951,6227855,840844,160787,2097108,2026481,460619,1429002,145419
09/06/2020,1131885,230853,2132787,701283,12025833,1677457,1022645,264138,263642,5609239,2713786,432659,475454,3667152,1767575,852430,824609,1210009,1125765,373902,1661805,2148716,2788582,1542835,630988,1724497,310703,514361,909133,356844,2740236,564664,6790072,2645511,206009,3222153,1069632,1262275,3729464,301216,1243379,216308,1656397,6914768,937635,171613,2283741,2134788,504945,1557325,159153
09/07/2020,1185860,236793,2202231,725912,12319347,1727923,1042081,270445,266851,5725430,2770220,440453,488026,3757435,1817468,883480,852869,1232981,1157557,379400,1697261,2179096,2839783,1586067,658198,1779943,327300,526248,941409,362116,2803836,577326,6909879,2682359,209635,3390805,1106560,1302528,3832633,306537,1267454,225388,1723555,7165909,932030,172359,2329710,2197591,512452,1605657,164376
09/08/2020,1005922,224387,2009554,621472,11732865,1709626,980584,251012,269713,5274993,2517833,410351,445895,3532834,1635072,805160,768641,1120801,1030853,355711,1627675,2108826,2661710,1473666,560341,1593328,295241,488101,881379,331721,2624189,541220,6580391,2489520,191181,3004280,959643,1230575,3548352,288199,1143144,204495,1525703,6478640,891831,162073,2209896,2071354,465512,1480988,156503
09/09/2020,963354,216972,1959763,594539,11639529,1654718,956972,244909,264437,5132401,2436278,406029,430995,3382531,1561267,782546,756130,1081144,995515,346179,1586137,2066918,2526770,1449743,543289,1536379,288913,476666,856226,326948,2552804,530838,6430789,2420436,186954,2888457,942720,1213564,3455883,284715,1105947,197670,1479749,6276509,843640,159103,2155092,2023730,449368,1444666,146579
09/10/2020,968046,219158,1964169,597767,11524572,1615025,950804,239940,262267,5090903,2419226,404765,432197,3389439,1574209,786050,759231,1086184,1001131,337298,1577956,2039230,2535423,1438065,543995,1550404,284892,475187,847978,322279,2561750,529179,6421801,2393335,186863,2911248,944933,1220501,3436779,280923,1095029,198313,1474761,6258211,839853,157457,2132029,2010647,452210,1433423,146088
09/11/2020,907913,217614,1896479,568577,11375574,1546042,917877,233913,255357,4863115,2297654,399299,415095,3283326,1512392,747977,722353,1036811,952279,328876,1520883,1995582,2442276,1388926,511696,1479808,275793,455667,831175,311865,2454606,506238,6243691,2280548,179439,2806296,895283,1221063,3310905,272692,1049297,187766,1402482,5998861,819440,152909,2057559,1990166,434600,1368235,141055
