Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
05/31/2020,9106,0,8159,3018,56253,5703,3111,1342,854,26381,10687,0,606,1264,21154,5151,5873,0,5552,6290,43,9412,5062,12930,6882,5905,8131,514,2134,4028,2732,837,6186,58444,12132,2032,165,8961,88,2406,7885,58,4123,10697,1190,8931,23348,3809,1303,0,9839,2922,97622,7377,310
06/01/2020,1928,2495,2864,3721,67735,7532,11347,1776,780,19051,6106,214,-6133,0,20014,4350,2785,292,2267,12261,24,8772,12892,14477,4181,4417,6147,859,2523,4223,1379,49455,5157,49952,5619,2308,161,7158,67,2417,6672,97,1826,4472,1533,12516,18166,4198,1356,109,7958,8023,98095,3664,754
06/02/2020,567,2013,9763,0,59008,5096,9217,1615,438,9352,2656,75,434,1434,16431,6023,4609,8071,11203,5763,3335,8786,13074,15938,7671,3244,5722,1555,2753,5308,1506,22077,3511,54054,13013,1538,223,11842,11384,2591,10542,62,2994,14089,1185,13643,16193,3679,1293,195,7484,8470,100543,10567,597
06/03/2020,7495,1979,6692,9244,59703,3395,5826,858,1861,31161,8425,336,587,799,24471,5896,755,4741,5143,8954,41,14385,13111,16380,15901,5249,5923,1236,3548,4160,2770,19743,3722,61642,14342,2568,0,16197,3395,2459,2520,88,3298,4148,1816,8643,20544,2190,576,20,12268,7329,103768,16474,884
06/04/2020,4002,1915,5230,4905,51377,4859,5089,989,1534,26130,13619,257,1130,855,22841,7419,10490,0,3726,9099,3192,11524,12024,14968,10940,238,7308,1194,2289,5172,3934,20309,6159,63559,19039,3471,138,11146,3670,2644,16111,485,3735,7926,3960,5359,31787,3526,639,20,11402,6377,106049,12188,367
06/05/2020,3860,893,14110,3590,55792,8296,5862,820,765,27897,11457,390,1698,3809,18903,6404,5728,5600,6249,9600,1331,13210,11524,12748,11037,8128,5881,1246,2567,4684,2860,61162,4761,66480,13845,2550,0,8944,4749,3934,7704,112,4734,448,741,6034,23021,4690,1283,5,11931,8069,108518,12371,617
06/06/2020,6151,2911,7781,5782,69837,6581,16042,906,1817,39245,15069,89,921,1616,21155,5892,4051,0,6632,7283,1391,12490,6265,10585,10412,10,5523,866,2725,5664,2736,24125,6883,77895,15203,3920,0,12331,5130,2913,11622,28558,3727,1445,2095,9249,31701,2952,966,145,9893,4772,109723,11808,896
06/07/2020,13922,1003,9975,3516,53918,5690,5594,1362,869,41973,12004,0,798,793,20700,6733,3478,0,0,5996,46,9251,4975,10369,9544,10126,6793,624,2222,3926,2131,17409,4507,60435,13876,2247,546,10498,147,2241,9557,70,2804,5115,1602,7347,7169,2802,1135,0,9237,3125,111807,11340,243
06/08/2020,0,1008,6460,0,68972,5366,4672,950,1219,18392,9510,266,1092,0,16823,5240,5430,5856,3787,8537,2676,8101,13946,12939,7771,4963,4603,4214,1638,4306,2343,14664,5228,58054,8887,1387,1,7794,55,1479,7565,61,1687,6802,759,13995,19870,4948,1580,3,8655,10560,113605,7608,1223
06/09/2020,8156,978,5132,10247,55055,5261,4327,806,1386,23755,7537,247,327,1634,20309,5887,4101,0,7056,11066,775,8118,14355,16872,8881,0,4234,1592,1285,3586,1948,14408,4426,49973,15598,1602,281,13572,12238,3738,8354,139,1966,3321,1340,8434,27039,3961,1430,9,8054,11751,114338,14257,362
06/10/2020,5306,830,6474,5697,54553,4793,4982,992,1040,20718,13850,306,699,1370,20820,4704,5106,4233,14458,6452,1520,8496,13436,15,12040,5673,5934,1432,2470,3734,1769,19437,2856,62297,17939,2765,0,11494,3256,3141,8126,144,2890,4550,1526,7630,13732,2900,1514,33,10867,12421,117990,10238,516
06/11/2020,5761,1291,9586,0,56849,5172,8067,2288,1096,27725,13175,98,1122,1056,22325,7248,5710,0,6679,9553,1517,11547,13081,14469,13401,0,7411,1161,2500,5931,3235,21859,3900,60839,19027,3303,58,10699,4148,5046,9942,23,3179,-22475,1059,6467,45233,4908,1467,11,12100,11970,121120,9313,766
06/12/2020,7553,1869,11543,6428,64611,5401,14061,3661,2665,29151,7493,147,1284,1312,24911,7838,6005,5410,0,9861,1430,9748,13004,15767,12818,608,6095,1245,3111,6191,3032,24603,9727,72395,23020,3332,181,11135,4769,4385,12012,24779,3687,6002,1261,54879,20637,4118,1425,41,9966,9637,124039,11662,282
06/13/2020,6864,923,7269,4372,62135,5596,5035,2405,1083,34514,13254,16,759,1214,21844,5457,5064,0,13479,24849,1463,10555,6435,13196,9658,-608,4661,982,3604,5435,2639,22819,0,70840,15993,3247,174,15180,225,4290,8667,154,4805,5847,1508,11189,33362,3996,1299,63,10561,6423,127517,11331,1155
06/14/2020,4203,1664,9643,9972,77603,7385,7184,1688,1494,38602,15786,0,984,314,22040,7754,5026,0,0,4949,1508,8480,5039,14015,0,168,5693,903,1738,5731,2581,19401,3710,62359,15440,2058,233,7322,4379,3403,8182,121,3130,6430,806,13858,35664,4931,1049,21,9500,4093,131199,9218,10
06/15/2020,5219,970,7201,7063,66186,5893,4922,2899,1316,21169,9589,215,1152,0,18627,7438,2754,7810,1265,9393,1113,8486,14126,10539,5212,16450,4452,2030,1640,5823,2095,18467,4671,56611,11349,1995,0,10948,186,2254,9797,79,2110,7221,1076,14758,18778,5225,1575,1,8677,11883,131953,6287,-440
06/16/2020,2742,1778,9062,1240,69573,5164,6435,1388,1280,30125,4218,274,554,2664,18729,7916,3250,0,-830,13992,1364,10497,13700,11497,6223,10300,4850,2640,1758,6040,1717,15699,4256,60568,12942,1770,0,10965,10801,3402,10062,61,3284,12122,807,9012,33681,2762,333,0,7489,12560,137071,11181,1788
06/17/2020,5289,1494,11855,15407,60233,4481,4571,513,2960,25450,15450,166,1215,1135,29987,7437,4493,5162,4820,12504,1683,15594,17892,14351,19442,3586,211,1938,2874,5136,1942,16059,3632,59341,16001,4343,0,16430,3627,4812,9739,52,3118,5075,1786,5583,21196,2992,773,49,10219,10795,141370,9691,656
