,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Stay at Home Start,2020-04-01,2020-03-28,2020-03-31,NaT,2020-03-19,2020-03-26,2020-03-23,2020-03-24,2020-04-01,2020-04-03,2020-04-03,2020-03-30,2020-03-25,2020-03-25,2020-03-25,2020-03-24,NaT,2020-03-30,2020-03-27,2020-03-22,2020-04-02,2020-03-30,2020-03-24,2020-03-24,2020-03-27,2020-03-31,2020-04-06,2020-03-29,NaT,2020-04-02,2020-03-27,2020-03-21,2020-03-24,2020-03-22,2020-03-30,NaT,2020-03-30,2020-03-23,2020-03-24,2020-03-23,2020-03-23,2020-03-15,2020-03-28,2020-04-06,NaT,2020-03-31,2020-03-31,2020-03-27,2020-03-24,2020-03-23,2020-03-24,2020-03-25,2020-03-24,2020-03-25,NaT
State at Home End,2020-04-30,2020-04-21,2020-05-15,NaT,2020-05-04,2020-04-26,2020-05-20,2020-05-31,2020-05-15,2020-04-30,2020-04-30,2020-05-09,2020-05-31,2020-04-30,2020-05-31,2020-05-01,NaT,2020-05-03,2020-05-11,2020-05-15,2020-05-31,2020-05-15,2020-05-18,2020-05-28,2020-05-17,2020-05-11,2020-05-03,2020-04-26,NaT,2020-05-09,2020-06-15,2020-06-09,2020-05-31,2020-05-28,2020-05-22,NaT,2020-05-31,2020-05-29,2020-05-06,2020-05-31,2020-06-04,2020-05-31,2020-05-08,2020-05-04,NaT,2020-04-30,2020-04-30,2020-05-01,2020-05-15,2020-05-31,2020-06-10,2020-05-31,2020-05-04,2020-05-13,NaT
